CommunityAreaName,SchoolCount,LibraryCount,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
Albany Park,9,1,0,21,21,6,2,17,11,6,12,8,7,11,5,6,14,5
Archer Heights,5,1,0,0,12,3,3,4,5,4,3,1,2,4,3,0,4,4
Armour Square,3,1,0,7,3,1,1,2,2,3,4,0,0,1,2,1,7,3
Ashburn,11,2,0,9,11,4,3,15,12,19,14,35,11,15,13,15,24,9
Auburn Gresham,17,2,0,90,107,46,35,74,76,91,66,66,70,72,47,59,73,61
Austin,26,3,0,217,191,131,125,134,126,141,126,129,109,123,97,122,169,247
Avalon Park,5,1,0,13,11,7,3,9,12,14,7,13,12,14,4,13,8,10
Avondale,8,0,0,30,24,14,16,10,8,15,15,16,13,14,8,6,8,7
Belmont Cragin,15,1,0,42,51,43,25,29,21,22,32,41,29,32,21,28,30,24
Beverly,3,1,0,1,2,1,0,4,2,3,0,0,1,0,0,0,0,0
Bridgeport,5,1,0,7,9,3,6,5,4,9,1,7,3,4,1,2,3,6
Brighton Park,12,1,0,43,41,37,34,19,29,31,17,18,23,28,13,16,35,32
Burnside,1,0,0,1,9,2,6,3,3,3,3,0,2,4,0,2,3,3
Calumet Heights,5,0,0,30,20,11,8,16,7,20,13,14,12,12,14,11,7,9
Chatham,10,1,1,44,64,30,48,56,37,55,34,36,25,38,26,28,40,43
Chicago Lawn,9,1,1,80,63,46,54,71,56,64,74,83,83,84,62,38,72,63
Clearing,4,1,0,3,5,1,4,4,0,3,2,1,1,0,0,0,0,0
Douglas,13,2,0,33,27,26,21,19,25,16,5,11,9,5,4,10,13,12
Dunning,6,1,0,0,0,1,1,2,1,0,0,1,1,0,2,1,4,3
East Garfield Park,14,0,0,50,74,44,40,53,37,39,32,26,28,46,35,38,61,101
East Side,5,1,0,20,25,16,8,13,6,14,10,9,6,5,3,12,8,4
Edgewater,6,1,0,5,5,2,3,3,2,8,3,4,6,5,5,4,8,5
Edison Park,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Englewood,18,1,0,122,131,94,66,57,83,107,82,92,78,86,70,78,102,99
Forest Glen,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuller Park,2,0,0,12,6,4,5,4,3,13,13,9,7,5,6,12,12,9
Gage Park,13,1,0,56,50,39,32,46,30,25,20,35,26,21,18,13,18,23
Garfield Ridge,6,1,0,14,6,8,7,5,10,15,7,3,3,2,2,2,1,1
Grand Boulevard,11,1,2,68,66,53,32,31,41,38,40,17,45,28,31,34,35,28
Greater Grand Crossing,11,1,1,86,82,42,39,65,74,64,75,69,59,83,78,58,58,65
Hegewisch,2,1,0,1,1,1,0,3,0,3,2,2,1,1,0,0,1,2
Hermosa,5,0,0,27,37,15,14,12,23,18,23,18,12,8,9,19,13,14
Humboldt Park,18,3,1,132,121,78,81,84,53,69,88,111,72,86,64,88,85,94
Hyde Park,4,0,0,4,10,1,4,2,4,4,2,1,2,4,1,2,3,3
Irving Park,11,1,0,30,14,9,3,3,5,6,7,11,6,12,3,6,6,10
Jefferson Park,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0
Kenwood,8,1,0,9,17,6,7,1,11,6,4,4,6,9,6,5,9,8
Lake View,10,2,0,4,2,2,5,1,0,1,2,2,0,2,1,6,3,8
Lincoln Park,7,1,0,7,5,3,5,2,3,4,1,3,0,4,2,2,0,2
Lincoln Square,5,1,0,3,2,3,3,0,0,2,1,0,0,1,0,2,1,3
Logan Square,12,1,0,91,69,32,28,26,27,17,27,22,20,13,18,20,17,14
Loop,3,1,0,3,1,1,0,0,1,2,0,1,2,0,3,0,0,4
Lower West Side,16,1,0,51,54,36,32,17,25,23,23,25,33,36,17,39,28,26
Mckinley Park,5,1,0,4,5,8,6,5,4,1,5,6,10,3,5,3,6,4
Montclare,1,1,0,0,1,0,0,2,2,3,1,0,0,0,1,1,4,2
Morgan Park,6,1,0,14,23,10,11,9,13,17,20,18,14,17,17,14,14,10
Mount Greenwood,4,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0
Near North Side,8,2,0,45,34,44,19,17,30,13,12,13,5,12,11,9,10,10
Near South Side,4,0,0,12,15,11,5,5,3,3,1,1,1,1,0,2,7,3
Near West Side,27,2,0,60,88,44,44,28,24,23,21,18,19,33,33,26,28,28
New City,16,2,0,133,105,55,51,81,66,77,64,70,62,101,43,40,69,74
North Center,7,0,0,16,11,9,8,2,2,2,2,1,3,2,2,0,1,2
North Lawndale,24,1,1,122,131,61,64,57,41,59,56,63,58,70,57,53,71,141
North Park,6,1,0,3,3,0,3,0,1,1,1,1,0,0,0,1,1,3
Norwood Park,8,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Oakland,2,0,0,5,5,1,5,4,5,1,2,4,4,12,3,8,4,6
Ohare,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portage Park,7,3,0,3,8,4,3,3,2,4,3,4,7,3,8,5,7,8
Pullman,7,1,0,10,10,5,8,6,9,19,15,8,3,5,3,6,7,10
Riverdale,6,1,0,25,36,12,16,9,18,22,17,14,7,12,8,22,19,15
Rogers Park,7,1,1,34,28,15,12,15,17,9,16,19,17,21,14,21,25,16
Roseland,12,1,1,96,116,61,35,61,77,102,82,98,86,65,50,69,69,82
South Chicago,12,1,0,92,80,47,34,54,53,67,65,63,61,54,43,57,43,37
South Deering,3,1,0,44,26,16,11,17,10,13,18,12,17,10,15,20,10,12
South Lawndale,24,2,0,121,89,55,64,39,43,42,56,66,39,49,43,33,40,60
South Shore,11,1,0,93,114,50,69,67,55,98,84,62,72,96,53,68,61,60
Uptown,8,2,0,16,15,12,9,7,8,11,8,27,29,14,16,10,18,16
Washington Heights,12,1,1,32,45,27,40,42,41,29,34,25,28,37,30,43,37,31
Washington Park,6,0,0,49,53,30,38,26,24,23,27,42,50,39,26,28,35,31
West Elsdon,3,0,0,2,5,6,4,0,2,3,4,2,2,3,1,5,5,1
West Englewood,13,1,0,129,128,90,109,96,105,138,113,98,117,112,77,98,123,110
West Garfield Park,6,1,1,91,84,52,52,44,48,68,63,37,51,35,32,47,62,79
West Lawn,4,1,0,10,7,5,4,10,7,3,5,6,2,3,6,3,0,7
West Pullman,9,1,0,74,103,63,66,60,51,64,45,41,53,55,54,54,55,61
West Ridge,10,2,0,8,5,6,2,3,3,4,2,4,5,7,6,4,8,10
West Town,24,2,0,108,126,46,54,49,24,20,22,31,27,27,19,22,30,53
Woodlawn,7,1,0,56,42,33,47,45,66,58,55,60,63,71,34,36,51,41
